createdAt;value
2019-09-10T22:14:50.000Z;6.80
2019-09-10T22:15:50.000Z;5.60
2019-09-10T22:16:51.000Z;4.20
2019-09-10T22:17:51.000Z;4.60
2019-09-10T22:18:51.000Z;5.40
2019-09-10T22:19:51.000Z;4.70
2019-09-10T22:20:51.000Z;4.70
2019-09-10T22:21:51.000Z;4.50
2019-09-10T22:22:51.000Z;3.90
2019-09-10T22:23:51.000Z;4.40
2019-09-10T22:24:51.000Z;3.70
2019-09-10T22:25:51.000Z;4.00
2019-09-10T22:26:51.000Z;4.70
2019-09-10T22:27:52.000Z;4.50
2019-09-10T22:28:52.000Z;4.20
2019-09-10T22:29:52.000Z;3.60
2019-09-10T22:30:52.000Z;4.50
2019-09-10T22:31:52.000Z;3.70
2019-09-10T22:32:52.000Z;3.80
2019-09-10T22:33:52.000Z;3.70
2019-09-10T22:34:52.000Z;4.10
2019-09-10T22:35:52.000Z;4.60
2019-09-10T22:36:52.000Z;4.70
2019-09-10T22:37:53.000Z;4.70
2019-09-10T22:38:53.000Z;5.10
2019-09-10T22:39:53.000Z;4.30
2019-09-10T22:40:53.000Z;3.90
2019-09-10T22:41:53.000Z;3.90
2019-09-10T22:42:53.000Z;3.90
2019-09-10T22:43:53.000Z;4.20
2019-09-10T22:44:53.000Z;5.00
2019-09-10T22:45:53.000Z;4.50
2019-09-10T22:46:53.000Z;4.30
2019-09-10T22:47:53.000Z;4.30
2019-09-10T22:48:54.000Z;4.40
2019-09-10T22:49:54.000Z;4.20
2019-09-10T22:50:54.000Z;4.10
2019-09-10T22:51:54.000Z;4.20
2019-09-10T22:52:54.000Z;3.80
2019-09-10T22:53:54.000Z;4.20
2019-09-10T22:54:54.000Z;4.20
2019-09-10T22:55:54.000Z;4.10
2019-09-10T22:56:54.000Z;4.30
2019-09-10T22:57:54.000Z;3.90
2019-09-10T22:58:54.000Z;3.50
2019-09-10T22:59:55.000Z;4.30
2019-09-10T23:00:55.000Z;4.20
2019-09-10T23:01:55.000Z;4.80
2019-09-10T23:02:55.000Z;5.40
2019-09-10T23:03:55.000Z;5.60
2019-09-10T23:04:55.000Z;4.80
2019-09-10T23:05:55.000Z;4.30
2019-09-10T23:06:55.000Z;5.10
2019-09-10T23:07:55.000Z;4.10
2019-09-10T23:08:55.000Z;3.90
2019-09-10T23:09:55.000Z;4.20
2019-09-10T23:10:56.000Z;3.80
2019-09-10T23:11:56.000Z;4.00
2019-09-10T23:12:56.000Z;4.30
2019-09-10T23:13:56.000Z;3.70
2019-09-10T23:14:56.000Z;4.10
2019-09-10T23:15:56.000Z;4.70
2019-09-10T23:16:56.000Z;5.50
2019-09-10T23:17:56.000Z;4.00
2019-09-10T23:18:56.000Z;4.40
2019-09-10T23:19:56.000Z;5.20
2019-09-10T23:20:57.000Z;5.10
2019-09-10T23:21:57.000Z;5.20
2019-09-10T23:22:57.000Z;4.40
2019-09-10T23:23:57.000Z;4.40
2019-09-10T23:24:57.000Z;5.00
2019-09-10T23:25:57.000Z;5.00
2019-09-10T23:26:57.000Z;5.60
2019-09-10T23:27:57.000Z;5.40
2019-09-10T23:28:57.000Z;5.60
2019-09-10T23:29:57.000Z;4.80
2019-09-10T23:30:57.000Z;5.20
2019-09-10T23:31:58.000Z;5.40
2019-09-10T23:32:58.000Z;5.30
2019-09-10T23:33:58.000Z;6.00
2019-09-10T23:34:58.000Z;5.00
2019-09-10T23:35:58.000Z;4.90
2019-09-10T23:36:58.000Z;5.40
2019-09-10T23:37:58.000Z;5.20
2019-09-10T23:38:58.000Z;4.50
2019-09-10T23:39:58.000Z;4.20
2019-09-10T23:40:58.000Z;3.90
2019-09-10T23:41:58.000Z;4.10
2019-09-10T23:42:59.000Z;3.70
2019-09-10T23:43:59.000Z;4.10
2019-09-10T23:44:59.000Z;3.80
2019-09-10T23:45:59.000Z;4.20
2019-09-10T23:46:59.000Z;4.60
2019-09-10T23:47:59.000Z;4.90
2019-09-10T23:48:59.000Z;4.00
2019-09-10T23:49:59.000Z;4.30
2019-09-10T23:50:59.000Z;4.50
2019-09-10T23:51:59.000Z;5.00
2019-09-10T23:52:59.000Z;4.80
2019-09-10T23:54:00.000Z;5.00
2019-09-10T23:55:00.000Z;5.10
2019-09-10T23:56:00.000Z;5.10
2019-09-10T23:57:00.000Z;4.70
2019-09-10T23:58:00.000Z;4.80
2019-09-10T23:59:00.000Z;5.20
2019-09-11T00:00:00.000Z;4.30
2019-09-11T00:01:00.000Z;4.70
2019-09-11T00:02:00.000Z;4.90
2019-09-11T00:03:00.000Z;4.40
2019-09-11T00:04:01.000Z;4.70
2019-09-11T00:05:01.000Z;5.90
2019-09-11T00:06:01.000Z;5.60
2019-09-11T00:07:01.000Z;5.20
2019-09-11T00:08:01.000Z;5.40
2019-09-11T00:09:01.000Z;6.00
2019-09-11T00:10:01.000Z;6.10
2019-09-11T00:11:01.000Z;6.40
2019-09-11T00:12:01.000Z;5.60
2019-09-11T00:13:01.000Z;5.70
2019-09-11T00:14:01.000Z;4.60
2019-09-11T00:15:02.000Z;4.60
2019-09-11T00:16:02.000Z;4.10
2019-09-11T00:17:02.000Z;4.10
2019-09-11T00:18:02.000Z;4.40
2019-09-11T00:19:02.000Z;5.40
2019-09-11T00:20:02.000Z;4.40
2019-09-11T00:21:02.000Z;5.00
2019-09-11T00:22:02.000Z;6.10
2019-09-11T00:23:02.000Z;6.10
2019-09-11T00:24:02.000Z;5.30
2019-09-11T00:25:02.000Z;4.70
2019-09-11T00:26:03.000Z;4.90
2019-09-11T00:27:03.000Z;4.90
2019-09-11T00:28:03.000Z;5.20
2019-09-11T00:29:03.000Z;5.40
2019-09-11T00:30:03.000Z;5.70
2019-09-11T00:31:03.000Z;5.10
2019-09-11T00:32:03.000Z;6.60
2019-09-11T00:33:03.000Z;6.00
2019-09-11T00:34:03.000Z;4.90
2019-09-11T00:35:03.000Z;4.90
2019-09-11T00:36:03.000Z;5.10
2019-09-11T00:37:04.000Z;5.20
2019-09-11T00:38:04.000Z;6.20
2019-09-11T00:39:04.000Z;5.90
2019-09-11T00:40:04.000Z;5.60
2019-09-11T00:41:04.000Z;5.80
2019-09-11T00:42:04.000Z;6.50
2019-09-11T00:43:04.000Z;6.30
2019-09-11T00:44:04.000Z;5.60
2019-09-11T00:45:04.000Z;4.90
2019-09-11T00:46:04.000Z;5.20
2019-09-11T00:47:05.000Z;5.00
2019-09-11T00:48:05.000Z;5.50
2019-09-11T00:49:05.000Z;5.40
2019-09-11T00:50:05.000Z;5.60
2019-09-11T00:51:05.000Z;5.40
2019-09-11T00:52:05.000Z;6.10
2019-09-11T00:53:05.000Z;5.70
2019-09-11T00:54:05.000Z;5.80
2019-09-11T00:55:05.000Z;5.40
2019-09-11T00:56:05.000Z;4.90
2019-09-11T00:57:05.000Z;5.10
2019-09-11T00:58:06.000Z;5.30
2019-09-11T00:59:06.000Z;4.80
2019-09-11T01:00:06.000Z;4.90
2019-09-11T01:01:06.000Z;5.20
2019-09-11T01:02:06.000Z;4.80
2019-09-11T01:03:06.000Z;5.30
2019-09-11T01:04:06.000Z;4.70
2019-09-11T01:05:06.000Z;5.20
2019-09-11T01:06:06.000Z;4.90
2019-09-11T01:07:06.000Z;4.70
2019-09-11T01:08:06.000Z;5.00
2019-09-11T01:09:07.000Z;4.60
2019-09-11T01:10:07.000Z;6.10
2019-09-11T01:11:07.000Z;5.60
2019-09-11T01:12:07.000Z;4.80
2019-09-11T01:13:07.000Z;4.80
2019-09-11T01:14:07.000Z;4.60
2019-09-11T01:15:07.000Z;4.60
2019-09-11T01:16:07.000Z;4.70
2019-09-11T01:17:07.000Z;4.80
2019-09-11T01:18:07.000Z;4.80
2019-09-11T01:19:07.000Z;4.60
2019-09-11T01:20:08.000Z;4.20
2019-09-11T01:21:08.000Z;4.50
2019-09-11T01:22:08.000Z;4.80
2019-09-11T01:23:08.000Z;4.70
2019-09-11T01:24:08.000Z;5.30
2019-09-11T01:25:08.000Z;4.20
2019-09-11T01:26:08.000Z;5.00
2019-09-11T01:27:08.000Z;4.10
2019-09-11T01:28:08.000Z;4.30
2019-09-11T01:29:08.000Z;5.20
2019-09-11T01:30:09.000Z;4.90
2019-09-11T01:31:09.000Z;4.70
2019-09-11T01:32:09.000Z;5.30
2019-09-11T01:33:09.000Z;4.40
2019-09-11T01:34:09.000Z;5.20
2019-09-11T01:35:09.000Z;4.80
2019-09-11T01:36:09.000Z;5.40
2019-09-11T01:37:09.000Z;5.10
2019-09-11T01:38:09.000Z;5.20
2019-09-11T01:39:09.000Z;5.80
2019-09-11T01:40:09.000Z;4.80
2019-09-11T01:41:10.000Z;5.40
2019-09-11T01:42:10.000Z;4.90
2019-09-11T01:43:10.000Z;5.20
2019-09-11T01:44:10.000Z;5.20
2019-09-11T01:45:10.000Z;5.30
2019-09-11T01:46:10.000Z;5.10
2019-09-11T01:47:10.000Z;5.20
2019-09-11T01:48:10.000Z;5.40
2019-09-11T01:49:10.000Z;5.50
2019-09-11T01:50:10.000Z;5.20
2019-09-11T01:51:10.000Z;4.80
2019-09-11T01:52:11.000Z;4.50
2019-09-11T01:53:11.000Z;4.90
2019-09-11T01:54:11.000Z;4.60
2019-09-11T01:55:11.000Z;4.80
2019-09-11T01:56:11.000Z;4.90
