createdAt;value_hum;value_pm;value_temp
2019-09-10T03:42:07.000Z;81.59;11.60;10.39
2019-09-10T03:43:07.000Z;81.59;9.40;10.38
2019-09-10T03:44:07.000Z;81.79;11.20;10.35
2019-09-10T03:45:07.000Z;81.90;11.90;10.35
2019-09-10T03:46:07.000Z;82.21;11.90;10.31
2019-09-10T03:47:08.000Z;82.21;11.80;10.29
2019-09-10T03:48:08.000Z;82.24;12.50;10.26
2019-09-10T03:49:08.000Z;82.35;12.30;10.25
2019-09-10T03:50:08.000Z;82.45;12.20;10.20
2019-09-10T03:51:08.000Z;82.65;13.60;10.18
2019-09-10T03:52:08.000Z;82.76;12.90;10.16
2019-09-10T03:53:08.000Z;82.86;12.80;10.14
2019-09-10T03:54:08.000Z;82.96;13.00;10.13
2019-09-10T03:55:08.000Z;82.96;12.80;10.10
2019-09-10T03:56:08.000Z;82.65;11.30;10.07
2019-09-10T03:57:08.000Z;82.24;9.20;10.04
2019-09-10T03:58:09.000Z;82.28;8.90;10.02
2019-09-10T03:59:09.000Z;82.28;8.50;9.98
2019-09-10T04:00:09.000Z;82.39;8.60;9.99
2019-09-10T04:01:09.000Z;82.59;9.80;9.98
2019-09-10T04:02:09.000Z;82.79;11.20;10.01
2019-09-10T04:03:09.000Z;82.90;12.40;9.99
2019-09-10T04:04:09.000Z;82.90;13.20;9.98
2019-09-10T04:05:09.000Z;82.90;12.00;9.98
2019-09-10T04:06:09.000Z;82.59;9.20;9.96
2019-09-10T04:07:09.000Z;82.49;8.70;9.93
2019-09-10T04:08:09.000Z;82.79;9.50;9.93
2019-09-10T04:09:10.000Z;83.10;12.80;9.93
2019-09-10T04:10:10.000Z;83.00;13.00;9.93
2019-09-10T04:11:10.000Z;82.79;13.10;9.92
2019-09-10T04:12:10.000Z;82.59;10.30;9.88
2019-09-10T04:13:10.000Z;82.59;8.90;9.85
2019-09-10T04:14:10.000Z;82.59;9.40;9.85
2019-09-10T04:15:10.000Z;82.59;8.30;9.85
2019-09-10T04:16:10.000Z;82.59;9.30;9.85
2019-09-10T04:17:10.000Z;82.59;8.40;9.83
2019-09-10T04:18:10.000Z;82.90;11.20;9.85
2019-09-10T04:19:10.000Z;82.90;11.60;9.86
2019-09-10T04:20:11.000Z;83.00;11.60;9.85
2019-09-10T04:21:11.000Z;82.90;14.10;9.85
2019-09-10T04:22:11.000Z;82.79;11.20;9.83
2019-09-10T04:23:11.000Z;82.73;9.70;9.80
2019-09-10T04:24:11.000Z;82.63;9.80;9.78
2019-09-10T04:25:11.000Z;82.83;11.00;9.80
2019-09-10T04:26:11.000Z;82.63;10.60;9.80
2019-09-10T04:27:11.000Z;82.63;10.10;9.80
2019-09-10T04:28:11.000Z;82.83;12.40;9.80
2019-09-10T04:29:11.000Z;82.93;9.60;9.80
2019-09-10T04:30:11.000Z;83.04;12.20;9.80
2019-09-10T04:31:12.000Z;83.14;11.50;9.78
2019-09-10T04:32:12.000Z;83.25;13.20;9.78
2019-09-10T04:33:12.000Z;83.04;10.50;9.77
2019-09-10T04:34:12.000Z;83.25;12.80;9.75
2019-09-10T04:35:12.000Z;83.34;11.80;9.75
2019-09-10T04:36:12.000Z;83.25;10.50;9.74
2019-09-10T04:37:12.000Z;83.34;12.60;9.74
2019-09-10T04:38:12.000Z;83.34;11.70;9.74
2019-09-10T04:39:12.000Z;83.14;10.40;9.73
2019-09-10T04:40:12.000Z;83.25;11.60;9.73
